timestamp,price,market_cap,total_volume
2025-02-01 00:03:39.884,332.8198402449708,5009660544.136656,858659656.4410359
2025-02-01 01:04:04.780,331.33785283393297,4987446021.056027,861006986.9795313
2025-02-01 02:03:45.876,330.19534531476614,4974029153.942664,853274385.0439161
2025-02-01 03:02:29.958,330.0791870897486,4973410366.348921,853522445.6617212
2025-02-01 04:03:47.078,325.8635593892392,4908443112.847902,849354376.7068825
2025-02-01 05:03:33.591,326.47609039157913,4915525740.876487,851140068.3670279
2025-02-01 06:03:54.379,325.2970850365288,4896963582.619106,850421136.8152413
2025-02-01 07:02:00.851,324.0953457348969,4878420008.805462,842514415.371929
2025-02-01 08:08:25.730,322.9684649710599,4861534513.524879,820864346.290407
2025-02-01 09:03:43.109,321.06495145550747,4831787096.911551,815742522.1970819
2025-02-01 10:01:44.559,318.3571244040647,4791925500.68963,821046686.102967
2025-02-01 11:03:24.568,316.68437173032873,4782019820.979993,825080344.7544494
2025-02-01 12:03:33.120,314.03762019343867,4724971581.577816,843881230.1722429
2025-02-01 13:08:18.462,316.84104792053404,4774375651.879008,835248852.8492869
2025-02-01 14:03:52.799,314.5150063033645,4738502047.378107,817867800.0234995
2025-02-01 15:00:52.259,313.66056816345093,4722476412.022556,799360493.2799528
2025-02-01 16:03:45.404,314.7307947501905,4740499586.721541,763921523.3777946
2025-02-01 17:08:19.760,315.451866577554,4749436225.836656,665799632.8918241
2025-02-01 18:01:35.195,315.176629472359,4744907925.544983,599112567.4714942
2025-02-01 19:03:33.017,312.64953026314305,4707358292.086405,522379900.1613904
2025-02-01 20:08:31.000,306.78531854129704,4623983726.465597,450599775.4728422
2025-02-01 21:03:36.003,305.6470637184282,4597732248.383508,432275819.3189987
2025-02-01 22:05:54.316,304.54852472600965,4578077416.760364,428566534.7886645
2025-02-01 23:03:17.230,299.5463866014617,4508188588.125304,420097657.1582447
2025-02-02 00:03:47.034,297.1632055321771,4474895124.29515,428481644.52335995
2025-02-02 01:03:45.728,302.16090186308804,4544992130.783454,434690474.69278723
2025-02-02 02:03:44.100,301.5421783385562,4539847175.136633,439426738.5136011
2025-02-02 03:03:36.079,293.80564670810577,4423986271.248052,454774532.4370504
2025-02-02 04:07:13.154,289.08775259594603,4354353657.114966,471356403.21764183
2025-02-02 05:03:38.671,290.80397127558115,4382350556.716337,480249637.64993644
2025-02-02 06:03:37.694,296.1802418029886,4461175093.159442,487971253.69884235
2025-02-02 07:03:42.472,294.37277181992977,4428322981.049372,489407525.7395537
2025-02-02 08:03:58.437,291.2328431688777,4388568792.979887,486208577.7176929
2025-02-02 09:03:51.638,292.8552991426237,4408928541.0349655,489235795.09746957
2025-02-02 10:03:52.054,292.1599557659818,4398668337.42809,483836023.06989175
2025-02-02 11:03:34.285,290.2397550903147,4376498622.215599,474454330.57820314
2025-02-02 12:03:48.113,285.98415183193,4308494432.546922,445542068.1809655
2025-02-02 13:03:53.624,283.9947266480556,4276922046.0150504,441826773.3829939
2025-02-02 14:03:57.322,288.28297813063693,4339851284.778976,463194558.9482312
2025-02-02 15:00:06.394,286.93683013587065,4318211992.769072,472469875.339599
2025-02-02 16:03:31.233,285.102726655039,4291511802.68553,479076512.69287205
2025-02-02 17:03:55.863,275.35296073871706,4143653987.7894287,498400906.20353466
2025-02-02 18:03:52.137,265.33576335193163,3992835423.0795364,522288810.2860106
2025-02-02 19:03:59.584,260.9976609279679,3938595483.8113837,577615390.0658443
2025-02-02 20:03:37.705,268.9021201512179,4048445352.4528923,593404149.5988182
2025-02-02 21:03:01.475,265.98026095213,4002208683.461572,618726448.4946909
2025-02-02 22:08:28.362,263.4300197930454,3954701769.551122,618493488.6775861
2025-02-02 23:03:40.046,255.2263983411741,3819800993.288228,647869922.2717187
2025-02-03 00:03:42.909,256.84479700326256,3869542860.4565206,687317745.5710198
2025-02-03 01:01:57.839,249.00118436010615,3747849809.6773047,729056355.148331
2025-02-03 02:03:51.706,220.6649126033365,3385664440.5710397,872124251.9898212
2025-02-03 03:02:19.786,216.03787353676714,3268592166.3318343,968115017.5109364
2025-02-03 04:03:47.947,229.51465952051055,3456486206.5466847,1035407441.3867818
2025-02-03 05:03:38.911,222.5674535140817,3350326640.647007,1064689343.4231442
2025-02-03 06:03:58.389,228.33206935131355,3434692384.103766,1098268652.6901438
2025-02-03 07:04:12.705,233.92211327754637,3522401247.6671085,1133274092.486354
2025-02-03 08:03:32.888,245.00450640323464,3677304109.4134655,1221038391.6608787
2025-02-03 09:03:53.440,238.74104288219996,3592936373.232985,1243703549.6329668
2025-02-03 10:03:33.727,238.51180086294852,3595353175.236947,1255926498.2492473
2025-02-03 11:03:05.166,242.5449780155167,3645180426.4618316,1283413221.603821
2025-02-03 12:03:40.120,239.34630612667286,3602092634.5422177,1299121739.9364498
2025-02-03 13:03:55.706,240.50400609643307,3629436222.008365,1313066408.9662168
2025-02-03 14:03:51.470,236.1439919279901,3554209981.8263783,1324656822.0427563
2025-02-03 15:04:13.940,250.2055329394767,3745739634.628417,1445005375.5900133
2025-02-03 16:02:18.189,261.69126589882256,3936482587.3052273,1543176622.2329943
2025-02-03 17:03:59.469,261.0537359777752,3947565975.085269,1560641561.6124294
2025-02-03 18:03:52.332,257.63502672473675,3877111445.1689134,1552342095.319612
2025-02-03 19:08:53.851,265.024258360836,3978332571.6762652,1546882445.400503
2025-02-03 20:03:50.151,277.0306448982292,4170433165.180651,1565278794.5629425
2025-02-03 21:02:41.769,267.87218423965794,4017891760.4086366,1568039960.937779
2025-02-03 22:03:40.252,274.8616745195759,4134025955.950026,1624973677.4863443
2025-02-03 23:04:03.571,282.0343663742799,4252393867.362146,1651440229.4229846
2025-02-04 00:04:05.668,276.6672708621049,4163794672.021948,1605377202.919863
2025-02-04 01:04:03.043,272.49565797880865,4102242648.1389213,1556913488.2940032
2025-02-04 02:08:29.534,271.8750515696018,4096937379.9003057,1392140966.0518205
2025-02-04 03:03:55.328,267.5175470774697,4044635205.1181746,1249066389.800913
2025-02-04 04:04:04.495,268.0323534470727,4026920969.1386113,1171120230.0047445
2025-02-04 05:04:06.933,265.5136763365349,3997277223.595122,1140187508.818012
2025-02-04 06:03:46.549,254.7945294767171,3837704638.053259,1128044872.478404
2025-02-04 07:00:00.087,257.6324368095144,3879358537.61772,1128987452.534672
