open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av
87.07818333333333,87.19351666666667,86.97313333333334,87.06548333333333,482.81166666666667,42044.68013166667,98.2,228.99666666666664,19958.95547
87.8212,87.93213333333333,87.7108,87.80376666666666,391.6316666666667,34421.37299333334,85.31666666666666,170.96166666666664,15040.955651666667
87.15438333333333,87.2491,87.06936666666667,87.15765,227.72,19844.127041666667,62.583333333333336,105.72666666666667,9219.294343333333
88.42171666666667,88.52685,88.34693333333333,88.42620000000001,229.65,20324.513678333333,64.05,101.18333333333334,8954.714326666666
88.17216666666667,88.27008333333333,88.07151666666667,88.16276666666666,270.24666666666667,23880.12685,69.23333333333333,103.03,9117.159793333332
88.17581666666666,88.275,88.10996666666666,88.20216666666667,165.44333333333333,14629.968579999999,53.983333333333334,79.51166666666667,7038.317565
88.39811666666667,88.48045,88.28178333333334,88.36181666666667,259.0183333333333,22818.248896666668,66.63333333333334,87.71166666666666,7735.12619
86.58356666666667,86.66401666666667,86.50118333333333,86.57323333333333,219.54166666666666,18985.89976333333,53.416666666666664,85.47333333333333,7393.770096666666
85.93018333333333,86.02296666666666,85.80245,85.90566666666668,257.56166666666667,22050.61699833333,70.05,96.65833333333333,8272.376541666667
86.24334999999999,86.34896666666667,86.17768333333333,86.26161666666667,129.63833333333335,11185.12364,41.43333333333333,57.153333333333336,4930.917743333333
88.1059,88.24230000000001,88.00991666666667,88.13348333333333,444.47833333333335,39116.692324999996,98.68333333333334,217.10833333333332,19098.554931666666
88.163,88.24471666666666,88.1007,88.163,139.49666666666664,12299.469916666665,40.75,58.848333333333336,5191.641521666666
87.44531666666667,87.56009999999999,87.31463333333333,87.42163333333333,299.085,26142.286525,76.21666666666667,122.64,10724.856418333333
87.46518333333333,87.55178333333333,87.4149,87.47751666666666,156.38,13676.804408333333,46.4,83.94666666666667,7337.963288333333
87.50238333333333,87.59245,87.41213333333333,87.48658333333333,151.16666666666666,13228.543791666667,46.766666666666666,55.78333333333333,4885.042473333333
87.1104,87.19343333333333,87.04298333333332,87.11151666666666,119.36333333333333,10385.24081,40.266666666666666,38.638333333333335,3362.062435
87.94496666666667,88.0573,87.86023333333333,87.95816666666666,217.465,19126.113738333333,62.55,105.91000000000001,9319.356853333333
89.36351666666665,89.50081666666667,89.24465000000001,89.38113333333334,600.23,53657.016525,143.53333333333333,282.47999999999996,25279.68915
88.58351666666667,88.73048333333332,88.41061666666666,88.56058333333334,587.205,51930.648665,132.41666666666666,237.37333333333333,21019.681586666666
87.19668333333334,87.28878333333334,87.11275,87.18286666666667,146.83666666666667,12811.492563333333,44.93333333333333,52.843333333333334,4614.80826
87.59636666666667,87.66921666666667,87.53988333333334,87.60715,114.82333333333332,10055.288233333333,35.833333333333336,38.725,3390.8755133333334
87.82756666666666,87.9222,87.76375,87.84048333333334,135.225,11878.689840000001,43.86666666666667,57.55166666666666,5059.376123333333
88.4783,88.56441666666666,88.41506666666668,88.48281666666666,143.00833333333333,12658.643401666666,43.21666666666667,59.983333333333334,5314.973436666667
89.18485000000001,89.29128333333333,89.12498333333333,89.21753333333332,247.51666666666668,22195.293400000002,66.66666666666667,145.42999999999998,13056.340001666666
90.16616666666667,90.29209999999999,89.99248333333334,90.12348333333333,448.68666666666667,40562.11286,126.11666666666666,199.61166666666668,18092.737940000003
88.13671666666666,88.24551666666666,88.0264,88.13053333333333,262.66833333333335,23107.52230333333,75.11666666666666,111.46499999999999,9811.22796
87.69430000000001,87.76209999999999,87.60133333333333,87.66283333333332,200.355,17527.436013333332,54.2,55.54333333333333,4859.860316666667
87.17035,87.23041666666667,87.12466666666667,87.16893333333334,92.66666666666667,8077.583426666666,34.46666666666667,30.95,2699.4402783333335
86.71858333333333,86.80406666666666,86.63921666666667,86.71045000000001,181.79833333333332,15752.709398333334,53.65,49.745,4316.049936666666
86.55971666666666,86.63069999999999,86.48336666666667,86.5572,216.40166666666667,18704.595776666665,58.38333333333333,71.26166666666667,6163.919331666666
86.26645,86.35216666666666,86.17918333333334,86.25558333333333,160.16666666666666,13803.637966666667,52.083333333333336,61.39,5293.343105000001
86.54806666666667,86.61678333333333,86.48814999999999,86.55111666666667,141.935,12292.654981666665,38.53333333333333,63.068333333333335,5465.4727649999995
86.10398333333333,86.17401666666666,86.03238333333334,86.08753333333334,249.89166666666668,21475.826931666666,64.23333333333333,84.71000000000001,7291.582958333334
84.81425,84.91466666666666,84.68171666666667,84.78596666666667,379.3883333333333,32085.54627,99.66666666666667,135.26833333333335,11450.710098333333
84.42041666666667,84.5411,84.31153333333333,84.42231666666666,402.54,33772.868311666665,101.2,160.035,13444.218633333334
84.15938333333334,84.21856666666666,84.10436666666666,84.15315000000001,102.78500000000001,8646.71033,33.666666666666664,33.13,2788.4607966666667
84.38596666666668,84.51935,84.29845,84.4147,351.89500000000004,29727.494841666667,88.28333333333333,162.78,13768.071988333333
85.93055,86.02725000000001,85.84091666666667,85.92255,267.25666666666666,22942.581476666666,61.95,89.86166666666666,7717.36589
84.99435,85.08166666666666,84.92363333333333,84.99705,187.645,15963.033150000001,48.916666666666664,82.06333333333333,6986.506271666667
86.35421666666666,86.46243333333334,86.26461666666667,86.35701666666667,294.6616666666667,25463.817916666667,77.75,139.05499999999998,12023.461621666667
85.99396666666667,86.11961666666666,85.89423333333335,86.00846666666666,239.70666666666665,20632.772925,75.08333333333333,107.68,9275.255685
86.68458333333334,86.81276666666666,86.58548333333333,86.67218333333334,221.91,19265.51295,66.35,93.435,8116.123905
