timestamp,price,market_cap,total_volume
2025-02-01 00:03:41.032,102404.93376107872,2029226920291.1497,37366136226.18833
2025-02-01 01:03:55.213,102470.38402887621,2030932639481.3865,42483296885.68748
2025-02-01 02:03:53.898,102512.46698695565,2032431644471.2717,46248883536.45287
2025-02-01 03:02:18.060,102403.77977300351,2031287020915.5964,46043695672.33697
2025-02-01 04:04:00.119,102249.72937645671,2026640317446.256,37219847751.11721
2025-02-01 05:03:50.170,102293.87636307711,2027429410522.027,44716554004.741455
2025-02-01 06:03:52.868,102475.68101584575,2030849839686.854,38468575084.29137
2025-02-01 07:03:34.749,102392.6088536625,2029215419908.2444,40854196148.388084
2025-02-01 08:01:44.168,102185.38756205894,2024374272328.8574,41017867899.581894
2025-02-01 09:00:32.068,101992.51177679887,2020109958891.8381,43170756687.62666
2025-02-01 10:01:58.541,101615.24850144365,2011116353962.8718,40950630637.33616
2025-02-01 11:03:29.726,101592.66990862337,2013571991726.725,44199401579.59235
2025-02-01 12:03:27.151,102019.51548371714,2020795152216.1936,43390671077.62543
2025-02-01 13:08:14.013,102149.95154515926,2024805565450.9731,40263757357.49234
2025-02-01 14:01:43.267,101860.22271648972,2018892168040.9985,42760494494.903145
2025-02-01 15:03:35.304,101823.14984091595,2018191211803.5496,36012347712.763176
2025-02-01 16:03:46.677,102108.3490479744,2023810890278.4912,38898994915.755135
2025-02-01 17:04:17.276,101882.43146116784,2019554845666.6638,36372572010.067406
2025-02-01 18:03:52.509,102239.73795237648,2025967806051.7249,33982983819.328705
2025-02-01 19:03:48.670,101992.1932854985,2021301643105.8303,31529163673.42172
2025-02-01 20:08:38.590,101476.28084876582,2012995142205.3684,27948766656.074245
2025-02-01 21:02:12.714,101341.21144517073,2005707798333.4507,26701827670.974792
2025-02-01 22:06:41.288,101393.69478953844,2007732949790.6438,25369237126.299778
2025-02-01 23:03:47.631,100522.89746094769,1992300478317.287,25233528730.879044
2025-02-02 00:08:32.693,100503.92993660411,1992554585447.9705,25367338078.921898
2025-02-02 01:03:46.645,101237.55570873898,2006349247831.8027,21185081725.01439
2025-02-02 02:03:46.706,101161.8529126038,2004853198752.8284,25624590580.91779
2025-02-02 03:03:32.220,100488.42869471373,1990708006435.527,26840136822.459103
2025-02-02 04:07:15.956,99092.333588406,1965157905742.4265,30869540941.338337
2025-02-02 05:03:36.344,99511.03304807426,1974773534296.998,32800550446.45657
2025-02-02 06:03:39.315,100272.9911974196,1988012923311.1807,33268112611.040897
2025-02-02 07:00:43.585,100355.30821794734,1989047190935.6055,34162940923.42494
2025-02-02 08:03:58.356,99593.13977161376,1975566614487.7935,23015348982.818996
2025-02-02 09:03:54.032,99794.68350624843,1977782731372.8877,34844975742.23547
2025-02-02 10:03:36.248,99645.40771022183,1974612397152.8308,35442664401.439514
2025-02-02 11:03:06.477,99342.03532242186,1972482542408.0698,30277774414.931026
2025-02-02 12:03:48.001,98933.28243566968,1958507453981.8325,38247378242.980705
2025-02-02 13:03:25.768,98201.26569873706,1947043865840.095,37287450038.32532
2025-02-02 14:03:58.403,98791.6437249441,1957697763146.0278,41310151090.22821
2025-02-02 15:03:39.736,99259.48949920906,1966823415612.4854,42312437070.84253
2025-02-02 16:01:38.424,99306.8359207168,1968910563155.1064,39546583950.865974
2025-02-02 17:02:35.650,98196.81871091944,1944551549814.6738,43695997575.17394
2025-02-02 18:03:38.840,97157.76217158206,1923804771116.4446,49580332802.86192
2025-02-02 19:03:45.446,96896.82676418213,1922884264795.0588,46951141125.63808
2025-02-02 20:03:43.139,98235.87175043522,1946163482674.5852,57044419317.02325
2025-02-02 21:00:45.736,97793.53821562871,1937072986217.3457,47658398897.50707
2025-02-02 22:02:15.812,96988.74415938454,1921781912853.0679,35209897594.59467
2025-02-02 23:03:47.863,97815.84535257479,1936077131894.8628,61901167209.33174
2025-02-03 00:03:55.006,97652.02866142086,1936888649851.0564,60384282261.70392
2025-02-03 01:03:25.784,96653.10505164102,1917176952320.4697,60807571362.72603
2025-02-03 02:03:58.171,93517.87531879066,1854405898143.0222,73996991110.01198
2025-02-03 03:02:39.228,93529.88153166145,1856974062327.3806,86745524901.59636
2025-02-03 04:03:57.250,94068.23649713039,1864269272699.6116,83478298819.85269
2025-02-03 05:03:42.326,92876.12162304203,1839654517603.3994,98097710393.03694
2025-02-03 06:04:01.126,93885.07988775491,1861048741708.0745,99315354839.13647
2025-02-03 07:04:21.688,93984.49582240354,1860597067537.651,100307372330.12206
2025-02-03 08:03:10.198,95437.74841070815,1890927751785.6184,85311350557.95201
2025-02-03 09:03:50.939,95431.53785259378,1890807210416.958,103867869869.16586
2025-02-03 10:03:40.239,95373.35106292863,1889960386268.8286,107172072534.73138
2025-02-03 11:03:55.347,95770.80181571534,1896073570182.0574,103609670806.10979
2025-02-03 12:03:46.010,95184.99000103062,1885724436619.9724,94169826919.72453
2025-02-03 13:03:33.432,94848.74372319518,1882582025353.0466,107299460403.68948
2025-02-03 14:03:56.837,94721.98536030206,1876967273887.9797,102962964871.67091
2025-02-03 15:05:03.441,96874.2426135226,1920251727565.7903,114257806050.93373
2025-02-03 16:03:37.068,99175.4839366473,1965578354535.2644,111661891455.78627
2025-02-03 17:03:56.331,98664.16766125984,1959916846295.3113,119758900481.58565
2025-02-03 18:03:51.143,99427.091812037,1968907002259.9075,117879665837.13199
2025-02-03 19:08:57.978,100109.60169399311,1983857635197.1255,122455060850.30626
2025-02-03 20:03:58.656,102038.29415299969,2021383503656.402,111582183938.67041
